review_id,customer_id,product_id,rating,review_text,review_date
1,2438,889,5,Good product,2025-11-23
2,685,260,3,Good product,2026-02-12
3,1604,611,1,Good product,2024-03-08
4,1604,1389,2,Good product,2024-03-08
5,3783,116,1,Good product,2023-12-15
6,586,299,5,Good product,2024-02-12
7,3913,1225,3,Good product,2022-07-03
8,3913,1445,4,Good product,2022-07-03
9,2525,1200,5,Good product,2023-06-21
10,645,342,5,Good product,2025-03-10
11,2376,1712,5,Good product,2023-07-29
12,1069,310,2,Good product,2024-06-27
13,2671,622,3,Good product,2022-08-24
14,3339,557,4,Good product,2025-03-17
15,1802,1369,3,Good product,2024-07-06
16,1234,1034,3,Good product,2023-10-15
17,1234,285,4,Good product,2023-10-15
18,2234,1040,3,Good product,2025-11-16
19,3113,1771,3,Good product,2025-10-09
20,4406,140,3,Good product,2024-02-19
21,3851,842,4,Good product,2022-06-20
22,2257,582,4,Good product,2026-04-07
23,3275,1472,2,Good product,2024-01-04
24,3275,50,3,Good product,2024-01-04
25,130,389,5,Good product,2025-10-13
26,2547,863,5,Good product,2023-11-14
27,3643,1326,5,Good product,2026-04-21
28,2536,787,5,Good product,2024-03-23
29,2536,717,1,Good product,2024-03-23
30,2031,512,1,Good product,2022-06-05
31,1405,592,3,Good product,2023-10-25
32,4829,1086,1,Good product,2022-12-17
33,3584,1147,1,Good product,2024-05-19
34,4743,498,1,Good product,2025-11-15
35,582,500,2,Good product,2022-07-14
36,4271,1988,5,Good product,2022-12-14
37,2040,536,3,Good product,2023-12-24
38,2238,1171,4,Good product,2022-06-28
39,2238,826,4,Good product,2022-06-28
40,1351,903,5,Good product,2022-02-07
41,3035,481,5,Good product,2024-08-06
42,3093,1824,5,Good product,2025-08-28
43,2646,1562,5,Good product,2026-05-13
44,2646,106,4,Good product,2026-05-13
45,4610,1290,4,Good product,2025-04-25
46,4610,204,3,Good product,2025-04-25
47,1805,1579,5,Good product,2023-09-14
48,4571,6,4,Good product,2024-08-11
49,4093,535,4,Good product,2024-03-04
50,4093,604,3,Good product,2024-03-04
51,3432,749,4,Good product,2024-08-24
52,76,39,4,Good product,2025-01-24
53,2021,744,3,Good product,2025-09-07
54,148,1593,5,Good product,2025-01-10
55,1000,349,2,Good product,2022-11-23
56,823,953,3,Good product,2024-11-14
57,4651,92,2,Good product,2024-04-14
58,2135,585,1,Good product,2024-07-26
59,4607,25,2,Good product,2024-03-28
60,4770,1919,2,Good product,2023-05-24
61,4240,247,4,Good product,2024-03-12
62,1417,1805,2,Good product,2023-07-14
63,645,1719,4,Good product,2026-01-12
64,3417,433,4,Good product,2022-02-14
65,4178,1513,4,Good product,2022-07-11
66,4194,734,3,Good product,2024-12-14
67,3881,1553,3,Good product,2023-09-14
68,4605,1716,4,Good product,2022-09-26
69,4642,26,1,Good product,2025-06-14
70,2362,1931,3,Good product,2025-03-13
71,482,1746,4,Good product,2024-12-03
72,3865,592,4,Good product,2022-05-26
73,4807,1097,2,Good product,2026-03-24
74,4284,1699,1,Good product,2024-05-10
75,1120,814,5,Good product,2023-06-18
76,4107,829,5,Good product,2024-01-28
77,1284,307,4,Good product,2024-10-17
78,4428,67,5,Good product,2024-05-25
79,4870,721,1,Good product,2024-03-20
80,4393,529,4,Good product,2025-09-19
81,4254,11,2,Good product,2022-06-03
82,740,617,1,Good product,2023-12-08
83,1976,998,1,Good product,2025-12-29
84,1268,320,2,Good product,2023-01-13
85,2500,1062,5,Good product,2025-08-16
86,4070,1935,5,Good product,2023-05-09
87,18,1729,3,Good product,2022-08-19
88,2640,49,2,Good product,2022-05-09
89,2667,1103,3,Good product,2024-09-03
90,1566,1834,2,Good product,2025-07-25
91,4629,1206,1,Good product,2025-06-17
92,4425,1272,2,Good product,2024-01-04
93,4311,784,1,Good product,2024-03-30
94,3311,1678,3,Good product,2026-04-25
95,4939,198,5,Good product,2025-01-16
96,4939,488,3,Good product,2025-01-16
97,1097,757,3,Good product,2023-07-20
98,2554,1161,1,Good product,2022-07-18
99,1,325,2,Good product,2025-06-21
100,2162,1431,4,Good product,2024-08-13
101,3242,1052,2,Good product,2022-07-15
102,2802,105,5,Good product,2025-07-21
103,828,1519,5,Good product,2025-11-26
104,1023,1769,2,Good product,2024-11-15
105,4349,919,5,Good product,2023-05-29
106,3585,725,2,Good product,2022-06-08
107,3407,244,3,Good product,2025-07-30
108,605,183,5,Good product,2026-02-07
109,4242,114,2,Good product,2025-05-30
110,3378,432,3,Good product,2022-06-10
111,2036,1325,4,Good product,2023-08-18
112,3709,474,2,Good product,2023-03-07
113,4075,917,1,Good product,2024-11-16
114,2679,448,2,Good product,2026-04-11
115,3706,1294,2,Good product,2024-10-08
116,3706,1484,2,Good product,2024-10-08
117,473,1928,2,Good product,2023-11-08
118,1357,527,5,Good product,2025-07-13
119,1492,901,4,Good product,2024-07-27
120,3993,612,1,Good product,2022-10-19
121,1020,1508,5,Good product,2024-08-23
122,4255,288,5,Good product,2024-01-29
123,1525,1258,2,Good product,2023-04-23
124,1525,1724,4,Good product,2023-04-23
125,1500,1880,4,Good product,2022-10-05
126,1388,533,3,Good product,2023-04-23
127,2575,581,1,Good product,2023-02-16
128,3844,763,2,Good product,2025-05-30
129,3330,1474,5,Good product,2022-09-07
130,1277,638,3,Good product,2022-12-01
131,1277,1956,3,Good product,2022-12-01
132,759,773,4,Good product,2025-12-09
133,3129,1000,2,Good product,2024-11-23
134,1517,480,2,Good product,2025-02-05
135,1517,528,5,Good product,2025-02-05
136,1517,840,4,Good product,2025-02-05
137,4613,1531,3,Good product,2022-03-27
138,1443,1400,4,Good product,2025-11-24
139,1443,77,4,Good product,2025-11-24
140,1831,1724,5,Good product,2023-12-26
141,38,508,4,Good product,2023-08-12
142,4743,39,4,Good product,2022-02-25
143,1916,1825,2,Good product,2024-11-05
144,702,400,3,Good product,2025-03-02
145,1789,1975,4,Good product,2024-09-10
146,3756,1441,5,Good product,2024-04-02
147,2645,267,2,Good product,2022-10-13
148,3971,30,2,Good product,2025-09-16
149,4888,238,4,Good product,2024-12-29
150,4670,151,5,Good product,2025-02-24
151,81,765,5,Good product,2026-02-10
152,2174,64,3,Good product,2022-11-02
153,3971,690,3,Good product,2025-12-21
154,1605,822,5,Good product,2024-03-08
155,4514,1668,4,Good product,2025-11-13
156,4731,1001,3,Good product,2024-08-20
157,242,1528,1,Good product,2022-01-06
158,3266,679,5,Good product,2023-05-29
159,3266,1717,5,Good product,2023-05-29
160,4357,172,1,Good product,2025-11-12
161,1500,1991,4,Good product,2024-06-23
162,1899,1120,4,Good product,2022-02-24
163,2227,133,3,Good product,2025-10-09
164,467,634,4,Good product,2025-06-23
165,4014,1574,4,Good product,2023-08-27
166,1825,1069,2,Good product,2023-09-27
167,1825,1219,3,Good product,2023-09-27
168,874,1743,2,Good product,2022-01-14
169,1166,1311,5,Good product,2024-08-22
170,4958,1593,1,Good product,2022-10-30
171,4958,1979,4,Good product,2022-10-30
172,1884,131,4,Good product,2023-08-07
173,2612,1723,5,Good product,2025-12-09
174,2612,901,5,Good product,2025-12-09
175,1584,498,3,Good product,2025-02-26
176,1584,852,2,Good product,2025-02-26
177,2925,1974,2,Good product,2023-11-02
178,2857,776,4,Good product,2024-04-18
179,1941,1973,3,Good product,2024-02-21
180,2520,1579,1,Good product,2022-01-23
181,1618,1127,2,Good product,2026-01-12
182,4601,1073,2,Good product,2023-06-21
183,2978,981,5,Good product,2024-05-24
184,4784,1656,2,Good product,2023-10-25
185,3800,630,1,Good product,2025-06-17
186,4719,1124,1,Good product,2026-02-22
187,2242,1159,1,Good product,2025-03-21
188,4106,648,2,Good product,2023-01-03
189,466,72,5,Good product,2022-08-08
190,3342,306,4,Good product,2024-03-05
191,3094,697,5,Good product,2024-10-06
192,3280,1847,5,Good product,2023-06-06
193,2877,934,1,Good product,2026-05-14
194,4230,580,2,Good product,2022-01-22
195,3837,85,1,Good product,2023-10-14
196,643,1551,4,Good product,2024-10-31
197,1697,1647,3,Good product,2025-05-08
198,2040,639,5,Good product,2023-06-10
199,1401,1708,1,Good product,2023-03-05
200,1401,398,3,Good product,2023-03-05
201,876,701,5,Good product,2024-05-23
202,4779,1653,4,Good product,2025-07-28
